"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"CAN","Canada","North America",3305,0.68861598,0.74045289,0.76168388,0,0,0,0,0,0,0,0.00396308364604141,0.00804943239454002,0.0129540854587506,0,0,0.00299596908005993,0.0140965019562394,0.0218509648858138,0,0,0.0126768581479868,0.0919392207242163,0.177066599578277,0,0,0.0082963273281784,0.122407739935516,0.523703259280379,0.173032447960898,"Part 1"
"MUS","Mauritius","Sub-Saharan Africa",1092,0.58440924,0.88149264,0.60206717,0.0231722674096327,0,0.101886357121235,0.0143150718657611,0.0169536139160257,0,0,0,0,0,0.0197729492039508,0,0.330506842761602,0.128058760903967,0.243871738574901,0,0,0.00847412097532256,0.00470784525097582,0.0386043299808468,0,0,0.00470784502380458,0.00659098352105918,0.0583772792706424,0.180763043793011,"Part 1"
"GRC","Greece","Europe & Central Asia",218,0.686665,0.6840426,0.70262265,0,0,0,0,0,0,0.0142543127273587,0.0379552720105692,0.167315945498942,0.0412000407136032,0,0.00407234150898229,0.020494085596838,0.114228776738878,0.0414102827313971,0,0,0.00606693846216118,0.208948724716198,0.154165197929183,0,0,0,0.0435409136876784,0.146347176312322,0.186271197426177,"Part 1"
"CYP","Cyprus","Europe & Central Asia",400,0.73763514,0.79608254,0.74626011,0.00755175114605952,0.00559822486971177,0.00434051757544905,0.00407051630804169,0.00267922158554259,0,0,0.0238337473656996,0.0729984355089532,0.0887083589807526,0,0.0059628451565244,0.0130500754051692,0.063412350967092,0.05652633069444,0,0.0184581982458317,0.0283369744579955,0.142112030413826,0.283628533497847,0,0.0036202082001516,0.0040871654856063,0.030560631205572,0.140463897074721,0.187185495169804,"Part 1"
"LBN","Lebanon","Middle East & North Africa",671,0.74459505,0.59116033,0.7756204,0.052486487942046,0.0138599330495665,0.104228341748274,0.0103201553730851,0.0791211913669962,0.00965394523585334,0.00194492555232342,0.00755513149533434,0.0164507835946495,0.0167569073312862,0.0125100884553307,0.0101581965880123,0.0894996523595447,0.0306766008393207,0.1707111467409,0,0,0.00932969692016888,0.0194411078456096,0.148037006648684,0,0,0.0102634280835846,0.00909207923367876,0.177903208008722,0.187971807173953,"Part 1"
"FRA","France","Europe & Central Asia",804,0.62012404,0.73470876,0.66761816,0.000418223910870748,0.00446888578389779,0.00559527261176295,0.0103241693552497,0.0108705792748645,0,0.00800693628392151,0.00876843733330383,0.0849241993429206,0.0413255178980046,0,0.00073347230194608,0.00531842839658629,0.0294044312395523,0.03157837412895,0,0.00807628598250098,0.0090672176276243,0.236560670586886,0.210529417873062,0,0,0.006957913499941,0.057242695103545,0.229828896689045,0.18869724998829,"Part 1"
"ESP","Spain","Europe & Central Asia",1028,0.76435113,0.68335876,0.77303791,0.00597833338829529,0.0185042107224942,0.045316782955213,0.021812798573643,0.0217130622071759,0.0017907931733283,0.0239666417889422,0.092905013602541,0.0657832644030214,0.0902838653837896,0.00098121751845744,0.00790344274536132,0.0792723690515922,0.0398721166559706,0.100970036776609,0,0.00447518588774796,0.0227499069274631,0.037125283726223,0.100450412469761,0,0.0011120272610815,0.0147465336052073,0.026860377334175,0.17542631070881,0.194918200767309,"Part 1"
"IRL","Ireland","Europe & Central Asia",1459,0.71907651,0.64523309,0.75814217,0.00675884101083235,0.00309811921837022,0.00653824774187805,0.0096990689893537,0.0084071685915888,0.00177148124329683,0.0106805325049551,0.0286358042086808,0.0503012371920736,0.0231753169131523,0,0.0014144378326569,0.041975936308143,0.0786461853786086,0.0810004194654066,0,0.00050942104415533,0.0137757986053327,0.124870136311342,0.226932428547853,0,0.00052388816496024,0.0103917533825205,0.0291855866572561,0.241708161795263,0.201023209362554,"Part 1"
"TUR","Turkey","Europe & Central Asia",735,0.70813215,0.42425019,0.71441311,0.0210401196109154,0.0435552649230293,0.0128126448599969,0.00612892166131295,0.00456904750421547,0.00805315413963045,0.118567788855707,0.0717332430938095,0.272765253982711,0.095660711628483,0.0009941073973465,0.00726185865316575,0.0169649993033125,0.0599666928579275,0.04557159139597,0,0.00447349010025288,0.00465574762764044,0.102589944687435,0.077738297395214,0,0,0,0.00098566730522328,0.0239114346947767,0.201069144425898,"Part 1"
"CHL","Chile","Latin America & Caribbean",12708,0.68946028,0.62463471,0.72003865,0.00512987306592791,0.00632911433776281,0.0310996769659984,0.0453226759084091,0.0154337515815734,0.00252224358225301,0.00356126607283832,0.0289074626499197,0.0543352074527108,0.0177785077788703,0.00177007959587427,0.00542920340770091,0.050441992577678,0.140852291125245,0.0686205648961865,0.00062840237080023,0.00126352026972873,0.0311284567989884,0.152111718715156,0.155222072526035,0,0,0.00646246965807443,0.0195121296042673,0.15613733091977,0.214749140840925,"Part 1"
