"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"ESP","Spain","Europe & Central Asia",1028,0.76435113,0.68335876,0.77303791,-0.0291346216922281,-0.149930663015189,0.0834014671596914,0.0928391658712172,0.126228536996472,0.0423177642761087,-0.0109380515178209,-0.147971763231031,0.064664615716931,0.22659901825132,0.0313243917492015,0.0889013090193914,0.130226303776522,-0.223969387489548,0.154600148194689,0,0.0668968301771314,0.150830722757212,0.0643044649668189,-0.06818514939726,0,0.0333470727513151,0.121435306254842,0.163891358326713,0,0.194918200767309,"Part 1"
"IRL","Ireland","Europe & Central Asia",1459,0.71907651,0.64523309,0.75814217,0.0234742400225671,-0.112115657239639,0.0313219959632215,0.0801183999365902,0.0811487961149916,0.0420889681899762,-0.00368808489590859,-0.126037481598655,0.114815523824316,0.0894018777721209,0,0.0376090126519814,0.0623892521781905,-0.0902995659680126,0.0718006608652648,0,0.0225703576434963,0.117370348066847,0.162035480273055,-0.0976283702082836,0,0.0228886033859701,0.101939949884824,0.17083789584649,0,0.201023209362554,"Part 1"
"TUR","Turkey","Europe & Central Asia",735,0.70813215,0.42425019,0.71441311,0.0511873313693446,-0.0204515314051799,-0.0416138406161704,0.0292012087792261,0.0473255241004525,0.0897393678361423,0.106265288233077,-0.407737554821879,0.308059812632383,0.220836980534958,0.0315294687133561,0.0852165397863921,0.0158997464707747,-0.0721995561796235,0.0825427623520135,0,0.0668841543286067,0.0682330391206521,0.182653096917741,-0.1341147780578,0,0,0,0.0313953389091961,0,0.201069144425898,"Part 1"
"CHL","Chile","Latin America & Caribbean",12708,0.68946028,0.62463471,0.72003865,-0.0300208986148939,-0.211663308402012,0.0951682267808431,0.178064795675591,0.104957587975842,0.0502219432345365,-0.0438150514455623,-0.108746838941743,0.11351068303556,0.0671485609161476,0.0420723138878083,0.0736831283788963,0.0611566827721593,-0.0536850292016224,0.0245272925992528,0.0250679550582059,0.0355460302949391,0.176432584289264,0.205528121730319,-0.159478380778084,0,0,0.0803894872360462,0.1396858246361,0,0.214749140840925,"Part 1"
"ISR","Israel","Middle East & North Africa",1486,0.60545146,0.80023041,0.61079788,-0.017389440796552,-0.149864400021841,0.0286662630162014,0.178247255381812,0.0934913588220077,0,-0.0134796584383471,-0.167628814468789,0.166686609614147,0.0957136372375353,0,0,-0.0250146066950035,-0.00179361191965907,0.0173095897896699,0,0.0493731391896723,0.106052118046998,0.262442022603279,-0.201015799805449,0,0.030352006372796,0.0515980360555123,0.400187452542234,0,0.219821372979803,"Part 1"
"HTI","Haiti","Latin America & Caribbean",444,0.63213509,0.41456193,0.63186705,0.235781638098187,-0.48544806243475,0.285461553076839,0.0427916638688875,0.217614713058332,0.135988323052333,0.0120361408862264,-0.0710613452017047,0.00631623267341533,0.12060437262947,0.0801074618208573,0.131510524945386,0.0962564287203422,-0.219150878516065,0.232186304117542,0,0.0396457002919207,0.0771081732922613,0.00451012576241289,-0.0415700034713432,0,0,0.0448419068879325,0.0691011175828906,0,0.235133195688191,"Part 1"
"YEM","Yemen","Middle East & North Africa",2774,0.67557317,0.69961673,0.67115188,0.170052038066473,-0.484545133303192,0.20977154619798,0.309613843226987,0.301071501233168,0.114801604460431,-0.0226606723991204,-0.107269432166068,0.082468070124394,0.10944507802753,0.113889851626849,0.0953052980805614,0.0491824676401709,-0.111042568956087,0.0732513293192667,0.0720919744456947,0.0511215463996481,0.126716396337733,0.0880076633977712,-0.100442577023766,0.0194058734893329,0.0423238386129207,0.0711174280361685,0.146526694998986,0,0.239717570007933,"Part 1"
"JPN","Japan","East Asia & Pacific",380,0.54768533,0.71357185,0.62959707,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136538613758405,0.00501376081523336,-0.000352948579498011,0,0,0.122797567722319,0.249199042785053,-0.160682038570174,0,0,0,0.362951787915774,0,0.245792542168117,"Part 1"
"COL","Colombia","Latin America & Caribbean",8478,0.72436488,0.53208384,0.73742723,0.068102360719486,-0.160889547454816,-0.0642367620091589,0.229995470674906,0.156671972088669,0.105841675449299,0.0615682108594245,-0.336031171423893,0.189543132680994,0.220575850614983,0.0472575961013789,0.120317900561513,-0.0159158806030241,-0.0809928104763808,0.0893032523702799,0.0512815586068286,0.101161412976648,0.0932201334761251,0.134276566095896,-0.10786092070545,0.0163349565611054,0.0536937776542608,0.0392659881751676,0.137448733342603,0,0.245921204634851,"Part 1"
"JOR","Jordan","Middle East & North Africa",4045,0.69478053,0.7544513,0.70231688,0.000636833391038871,-0.385319080442352,0.156433181736272,0.17507360062784,0.150663810756405,0.0933629768532538,-0.143319095029239,-0.0738737745894575,0.0830480978860409,0.124213462121423,0.0628748702204221,0.0166358608593376,0.144050649270843,-0.134064844652828,0.0436814098686324,0.0449970682840785,0.0112914761767348,0.273218770140841,0.109174817304058,-0.152339466368138,0.0130516849575666,0,0.133258814393888,0.126846632839494,0,0.251726158387841,"Part 1"
